scenario,event_group,turn,response_reference,provider_existence,attribute_faithfulness,rationale_support,hard_constraint_consistency,auditor,notes
study.baby_shower.01,baby_shower,0,1236-01KWG794AV40J4X26SQTQ1CT0H,pass,pass,pass,fail,Codex,"All providers exist and attributes are disclosed, but none satisfies Miraflores; one is in Mexico."
study.baby_shower.03,baby_shower,0,1619-01KWG69K967VRH53KAMC2XNKVY,pass,pass,pass,fail,Codex,"The decoration result is a souvenir/vela provider rather than an integral decoration provider."
study.baby_shower.05,baby_shower,1,166-01KWG7DBS1JGM9SVEJSCSX2203,pass,pass,not_applicable,pass,Codex,"Selection confirmation accurately names the captured provider."
study.baby_shower.07,baby_shower,2,112-01KWG6CF92GYYXRB0F7T0VNR4Q,pass,pass,not_applicable,pass,Codex,"Closure accurately names the selected captured provider."
study.baby_shower.10,baby_shower,1,1914-01KWG7JRNDC1FA87HFZT2F47KV,pass,pass,pass,fail,Codex,"The alternatives are home/interior products rather than event-decoration services."
study.birthday.02,birthday,0,1491-01KWG73CDXAA3MBH4JMKM1XN66,pass,pass,pass,pass,Codex,"Displayed DJ capabilities and caveats are supported by provider evidence."
study.birthday.04,birthday,1,434-01KWG74BK331YE5PVW1SDKPS62,pass,pass,fail,fail,Codex,"The response says providers still fit vegetarian preferences without vegetarian evidence."
study.birthday.06,birthday,2,1819-01KWG75WMDHFW8KX7AWYMDW77V,pass,pass,pass,pass,Codex,"DJ capabilities and limitations are supported by the evidence."
study.birthday.09,birthday,0,1777-01KWG77YBNA8F2HY5BVJBNJAB1,pass,pass,pass,fail,Codex,"Caveats are explicit, but high-price DJ alternatives conflict with the minimum-budget request."
study.corporate.01,corporate,0,1196-01KWG7K4QGVX0R57GJB4BM50XM,pass,pass,pass,fail,Codex,"All venue options are outside the requested San Isidro location, including Ica and Mexico."
study.corporate.03,corporate,0,1148-01KWG7KXVZK653G6FQHAHVAKA0,pass,pass,pass,fail,Codex,"The proposed local is in Ica rather than Lima and the audiovisual need receives no result."
study.corporate.05,corporate,1,292-01KWG7N4JVGAQ9S0QHBBCM6ZJM,pass,fail,not_applicable,fail,Codex,"The provider name is rendered as Fondo instead of Fundo and the selected venue is in Ica, not Lima."
study.corporate.07,corporate,2,143-01KWG7PNBSCN2QCF3PB8DBJ7GG,pass,pass,not_applicable,fail,Codex,"The lead closes on an Ica venue despite the persisted Lima requirement."
study.social.01,social,0,1832-01KWG7RDX1HFG8M3S5ZMSP2778,pass,pass,pass,fail,Codex,"Evidence supports the rationales, but no provider is verified specifically in Barranco."
study.social.03,social,0,1564-01KWG7S7AMABSK6Y13DEYH2TAN,pass,fail,fail,fail,Codex,"A photography provider is grouped under Locales and an Ica venue is said to fit a Lima request."
study.social.05,social,1,417-01KWG7TR70RSVE1WEJFAH3RS4C,pass,pass,pass,pass,Codex,"Selection explanation and promotion match the DJ evidence."
study.social.07,social,2,104-01KWG7WEB1ZN9KWYW497WM4C7Z,pass,pass,not_applicable,fail,Codex,"The selected provider is only located at Peru granularity, not verified for Lima."
study.social.10,social,1,1821-01KWG7YB8VAWXJMQXDDR90N455,pass,pass,pass,fail,Codex,"The rationales match product evidence, but results are interior/home vendors rather than event decorators."
study.wedding.02,wedding,0,1713-01KWG5X6DBNMM7QSKJVRBFW3N1,pass,pass,pass,pass,Codex,"Provider facts, price caveats, and recommendation reasons are supported."
study.wedding.04,wedding,1,1815-01KWG6XX5YKND4VR9Z90FR2E05,pass,pass,fail,fail,Codex,"Several documentary/natural-style claims are not present in the cited provider evidence."
